"x"	"y"
0	3.91366e-14
2e-11	3.9179e-14
4e-11	3.91818e-14
6e-11	3.91917e-14
8e-11	3.91699e-14
1e-10	3.91702e-14
1.2e-10	3.91673e-14
1.4e-10	3.9167e-14
1.6e-10	3.91659e-14
1.8e-10	3.91685e-14
2e-10	3.91677e-14
2.2e-10	3.91674e-14
2.4e-10	3.91544e-14
2.6e-10	3.91488e-14
2.8e-10	3.9151e-14
3e-10	3.91535e-14
3.2e-10	3.9156e-14
3.4e-10	3.91547e-14
3.6e-10	3.91508e-14
3.8e-10	3.91544e-14
4e-10	3.91509e-14
4.2e-10	3.91541e-14
4.4e-10	3.91509e-14
4.6e-10	3.91551e-14
4.8e-10	3.91735e-14
5e-10	3.91771e-14
5.2e-10	3.91711e-14
5.4e-10	3.91737e-14
5.6e-10	3.91738e-14
5.8e-10	3.91712e-14
6e-10	3.91734e-14
6.2e-10	3.91707e-14
6.4e-10	3.91731e-14
6.6e-10	3.91727e-14
6.8e-10	3.91735e-14
7e-10	3.91724e-14
7.2e-10	3.91732e-14
7.4e-10	3.91712e-14
7.6e-10	3.91731e-14
7.8e-10	3.91711e-14
8e-10	3.91732e-14
8.2e-10	3.91718e-14
8.4e-10	3.91739e-14
8.6e-10	3.91725e-14
8.8e-10	3.91735e-14
9e-10	3.91718e-14
9.2e-10	3.91736e-14
9.4e-10	3.91702e-14
9.6e-10	3.91684e-14
9.8e-10	3.917e-14
1e-09	3.91351e-14
1.02e-09	3.91783e-14
1.04e-09	3.91685e-14
1.06e-09	3.91685e-14
1.08e-09	3.91686e-14
1.1e-09	3.91713e-14
1.12e-09	3.91698e-14
1.14e-09	3.91684e-14
1.16e-09	3.91701e-14
1.18e-09	3.91712e-14
1.2e-09	3.91701e-14
1.22e-09	3.91683e-14
1.24e-09	3.91702e-14
1.26e-09	3.91711e-14
1.28e-09	3.91696e-14
1.3e-09	3.91683e-14
1.32e-09	3.91698e-14
1.34e-09	3.9171e-14
1.36e-09	3.91703e-14
1.38e-09	3.91686e-14
1.4e-09	3.91695e-14
1.42e-09	3.91711e-14
1.44e-09	3.91698e-14
1.46e-09	3.91682e-14
1.48e-09	3.917e-14
1.5e-09	3.92029e-14
1.52e-09	3.91393e-14
1.54e-09	3.91688e-14
1.56e-09	3.91709e-14
1.58e-09	3.91741e-14
1.6e-09	3.91687e-14
1.62e-09	3.91685e-14
1.64e-09	3.91682e-14
1.66e-09	3.91702e-14
1.68e-09	3.917e-14
1.7e-09	3.91691e-14
1.72e-09	3.91703e-14
1.74e-09	3.91706e-14
1.76e-09	3.91696e-14
1.78e-09	3.91678e-14
1.8e-09	3.91694e-14
1.82e-09	3.9171e-14
1.84e-09	3.91699e-14
1.86e-09	3.91683e-14
1.88e-09	3.91762e-14
1.9e-09	3.91695e-14
1.92e-09	3.91682e-14
1.94e-09	3.91697e-14
1.96e-09	3.9168e-14
1.98e-09	3.91681e-14
2e-09	1.43373e-07
2.02e-09	3.32481e-07
2.04e-09	2.91578e-07
2.06e-09	2.51596e-07
2.08e-09	2.13598e-07
2.1e-09	1.7769e-07
2.12e-09	1.44066e-07
2.14e-09	1.13397e-07
2.16e-09	8.68843e-08
2.18e-09	6.55259e-08
2.2e-09	4.96887e-08
2.22e-09	3.88341e-08
2.24e-09	3.17638e-08
2.26e-09	2.71553e-08
2.28e-09	2.3992e-08
2.3e-09	2.1666e-08
2.32e-09	1.98557e-08
2.34e-09	1.83844e-08
2.36e-09	1.7145e-08
2.38e-09	1.60697e-08
2.4e-09	1.51147e-08
2.42e-09	1.4251e-08
2.44e-09	1.34592e-08
2.46e-09	1.27263e-08
2.48e-09	1.20436e-08
2.5e-09	1.1405e-08
2.52e-09	1.08067e-08
2.54e-09	1.02457e-08
2.56e-09	9.72e-09
2.58e-09	9.22777e-09
2.6e-09	8.76745e-09
2.62e-09	8.33749e-09
2.64e-09	7.9363e-09
2.66e-09	7.56231e-09
2.68e-09	7.21387e-09
2.7e-09	6.88937e-09
2.72e-09	6.5872e-09
2.74e-09	6.3058e-09
2.76e-09	6.04367e-09
2.78e-09	5.7994e-09
2.8e-09	5.57164e-09
2.82e-09	5.35914e-09
2.84e-09	5.16074e-09
2.86e-09	4.97537e-09
2.88e-09	4.80203e-09
2.9e-09	4.6398e-09
2.92e-09	4.48785e-09
2.94e-09	4.3454e-09
2.96e-09	4.21174e-09
2.98e-09	4.08622e-09
3e-09	3.96824e-09
3.02e-09	3.85725e-09
3.04e-09	3.75275e-09
3.06e-09	3.65427e-09
3.08e-09	3.56139e-09
3.1e-09	3.47371e-09
3.12e-09	3.39087e-09
3.14e-09	3.31254e-09
3.16e-09	3.23841e-09
3.18e-09	3.1682e-09
3.2e-09	3.10165e-09
3.22e-09	3.03851e-09
3.24e-09	2.97856e-09
3.26e-09	2.9216e-09
3.28e-09	2.86742e-09
3.3e-09	2.81586e-09
3.32e-09	2.76675e-09
3.34e-09	2.71994e-09
3.36e-09	2.67528e-09
3.38e-09	2.63265e-09
3.4e-09	2.59191e-09
3.42e-09	2.55297e-09
3.44e-09	2.5157e-09
3.46e-09	2.48001e-09
3.48e-09	2.44582e-09
3.5e-09	2.41302e-09
3.52e-09	2.38156e-09
3.54e-09	2.35134e-09
3.56e-09	2.3223e-09
3.58e-09	2.29437e-09
3.6e-09	2.2675e-09
3.62e-09	2.24162e-09
3.64e-09	2.21668e-09
3.66e-09	2.19264e-09
3.68e-09	2.16944e-09
3.7e-09	2.14704e-09
3.72e-09	2.1254e-09
3.74e-09	2.10449e-09
3.76e-09	2.08426e-09
3.78e-09	2.06468e-09
3.8e-09	2.04572e-09
3.82e-09	2.02734e-09
3.84e-09	2.00953e-09
3.86e-09	1.99225e-09
3.88e-09	1.97548e-09
3.9e-09	1.9592e-09
3.92e-09	1.94337e-09
3.94e-09	1.92799e-09
3.96e-09	1.91303e-09
3.98e-09	1.89847e-09
4e-09	1.8843e-09
4.02e-09	1.8705e-09
4.04e-09	1.85704e-09
4.06e-09	1.84393e-09
4.08e-09	1.83114e-09
4.1e-09	1.81866e-09
4.12e-09	1.80647e-09
4.14e-09	1.79458e-09
4.16e-09	1.78295e-09
4.18e-09	1.77159e-09
4.2e-09	1.76049e-09
4.22e-09	1.74962e-09
4.24e-09	1.73899e-09
4.26e-09	1.72859e-09
4.28e-09	1.7184e-09
4.3e-09	1.70843e-09
4.32e-09	1.69865e-09
4.34e-09	1.68907e-09
4.36e-09	1.67968e-09
4.38e-09	1.67047e-09
4.4e-09	1.66144e-09
4.42e-09	1.65257e-09
4.44e-09	1.64387e-09
4.46e-09	1.63533e-09
4.48e-09	1.62694e-09
4.5e-09	1.6187e-09
4.52e-09	1.6106e-09
4.54e-09	1.60264e-09
4.56e-09	1.59482e-09
4.58e-09	1.58713e-09
4.6e-09	1.57957e-09
4.62e-09	1.57213e-09
4.64e-09	1.56481e-09
4.66e-09	1.55761e-09
4.68e-09	1.55052e-09
4.7e-09	1.54354e-09
4.72e-09	1.53667e-09
4.74e-09	1.52991e-09
4.76e-09	1.52324e-09
4.78e-09	1.51668e-09
4.8e-09	1.51021e-09
4.82e-09	1.50384e-09
4.84e-09	1.49755e-09
4.86e-09	1.49136e-09
4.88e-09	1.48526e-09
4.9e-09	1.47924e-09
4.92e-09	1.4733e-09
4.94e-09	1.46744e-09
4.96e-09	1.46167e-09
4.98e-09	1.45597e-09
5e-09	1.45035e-09
5.02e-09	1.4448e-09
5.04e-09	1.43932e-09
5.06e-09	1.43392e-09
5.08e-09	1.42858e-09
5.1e-09	1.42331e-09
5.12e-09	1.41811e-09
5.14e-09	1.41297e-09
5.16e-09	1.4079e-09
5.18e-09	1.40289e-09
5.2e-09	1.39794e-09
5.22e-09	1.39305e-09
5.24e-09	1.38822e-09
5.26e-09	1.38345e-09
5.28e-09	1.37874e-09
5.3e-09	1.37408e-09
5.32e-09	1.36947e-09
5.34e-09	1.36492e-09
5.36e-09	1.36042e-09
5.38e-09	1.35597e-09
5.4e-09	1.35157e-09
5.42e-09	1.34723e-09
5.44e-09	1.34293e-09
5.46e-09	1.33868e-09
5.48e-09	1.33447e-09
5.5e-09	1.33031e-09
5.52e-09	1.3262e-09
5.54e-09	1.32214e-09
5.56e-09	1.31811e-09
5.58e-09	1.31413e-09
5.6e-09	1.3102e-09
5.62e-09	1.3063e-09
5.64e-09	1.30245e-09
5.66e-09	1.29863e-09
5.68e-09	1.29486e-09
5.7e-09	1.29113e-09
5.72e-09	1.28743e-09
5.74e-09	1.28377e-09
5.76e-09	1.28015e-09
5.78e-09	1.27657e-09
5.8e-09	1.27302e-09
5.82e-09	1.26951e-09
5.84e-09	1.26604e-09
5.86e-09	1.2626e-09
5.88e-09	1.25919e-09
5.9e-09	1.25582e-09
5.92e-09	1.25248e-09
5.94e-09	1.24917e-09
5.96e-09	1.2459e-09
5.98e-09	1.24266e-09
6e-09	1.23944e-09
6.02e-09	1.23626e-09
6.04e-09	1.23311e-09
6.06e-09	1.22999e-09
6.08e-09	1.2269e-09
6.1e-09	1.22384e-09
6.12e-09	1.22081e-09
6.14e-09	1.21781e-09
6.16e-09	1.21483e-09
6.18e-09	1.21189e-09
6.2e-09	1.20897e-09
6.22e-09	1.20607e-09
6.24e-09	1.20321e-09
6.26e-09	1.20037e-09
6.28e-09	1.19755e-09
6.3e-09	1.19476e-09
6.32e-09	1.192e-09
6.34e-09	1.18926e-09
6.36e-09	1.18655e-09
6.38e-09	1.18386e-09
6.4e-09	1.18119e-09
6.42e-09	1.17855e-09
6.44e-09	1.17593e-09
6.46e-09	1.17333e-09
6.48e-09	1.17076e-09
6.5e-09	1.16821e-09
6.52e-09	1.16568e-09
6.54e-09	1.16318e-09
6.56e-09	1.16069e-09
6.58e-09	1.15823e-09
6.6e-09	1.15579e-09
6.62e-09	1.15337e-09
6.64e-09	1.15097e-09
6.66e-09	1.14859e-09
6.68e-09	1.14623e-09
6.7e-09	1.14389e-09
6.72e-09	1.14157e-09
6.74e-09	1.13927e-09
6.76e-09	1.13699e-09
6.78e-09	1.13472e-09
6.8e-09	1.13248e-09
6.82e-09	1.13026e-09
6.84e-09	1.12805e-09
6.86e-09	1.12586e-09
6.88e-09	1.12369e-09
6.9e-09	1.12154e-09
6.92e-09	1.1194e-09
6.94e-09	1.11728e-09
6.96e-09	1.11518e-09
6.98e-09	1.1131e-09
7e-09	1.11103e-09
7.02e-09	1.10898e-09
7.04e-09	1.10695e-09
7.06e-09	1.10493e-09
7.08e-09	1.10293e-09
7.1e-09	1.10094e-09
7.12e-09	1.09897e-09
7.14e-09	1.09702e-09
7.16e-09	1.09508e-09
7.18e-09	1.09315e-09
7.2e-09	1.09124e-09
7.22e-09	1.08935e-09
7.24e-09	1.08747e-09
7.26e-09	1.0856e-09
7.28e-09	1.08375e-09
7.3e-09	1.08191e-09
7.32e-09	1.08009e-09
7.34e-09	1.07828e-09
7.36e-09	1.07648e-09
7.38e-09	1.0747e-09
7.4e-09	1.07293e-09
7.42e-09	1.07118e-09
7.44e-09	1.06944e-09
7.46e-09	1.06771e-09
7.48e-09	1.06599e-09
7.5e-09	1.06429e-09
7.52e-09	1.0626e-09
7.54e-09	1.06092e-09
7.56e-09	1.05925e-09
7.58e-09	1.0576e-09
7.6e-09	1.05596e-09
7.62e-09	1.05433e-09
7.64e-09	1.05271e-09
7.66e-09	1.0511e-09
7.68e-09	1.04951e-09
7.7e-09	1.04793e-09
7.72e-09	1.04635e-09
7.74e-09	1.04479e-09
7.76e-09	1.04324e-09
7.78e-09	1.04171e-09
7.8e-09	1.04018e-09
7.82e-09	1.03866e-09
7.84e-09	1.03716e-09
7.86e-09	1.03566e-09
7.88e-09	1.03418e-09
7.9e-09	1.0327e-09
7.92e-09	1.03124e-09
7.94e-09	1.02978e-09
7.96e-09	1.02834e-09
7.98e-09	1.02691e-09
8e-09	1.02548e-09
8.02e-09	1.02407e-09
8.04e-09	1.02266e-09
8.06e-09	1.02127e-09
8.08e-09	1.01988e-09
8.1e-09	1.01851e-09
8.12e-09	1.01714e-09
8.14e-09	1.01578e-09
8.16e-09	1.01444e-09
8.18e-09	1.0131e-09
8.2e-09	1.01177e-09
8.22e-09	1.01045e-09
8.24e-09	1.00913e-09
8.26e-09	1.00783e-09
8.28e-09	1.00653e-09
8.3e-09	1.00525e-09
8.32e-09	1.00397e-09
8.34e-09	1.0027e-09
8.36e-09	1.00144e-09
8.38e-09	1.00018e-09
8.4e-09	9.98939e-10
8.42e-09	9.97702e-10
8.44e-09	9.96473e-10
8.46e-09	9.95252e-10
8.48e-09	9.94039e-10
8.5e-09	9.92833e-10
8.52e-09	9.91636e-10
8.54e-09	9.90446e-10
8.56e-09	9.89263e-10
8.58e-09	9.88088e-10
8.6e-09	9.8692e-10
8.62e-09	9.8576e-10
8.64e-09	9.84607e-10
8.66e-09	9.83461e-10
8.68e-09	9.82323e-10
8.7e-09	9.81191e-10
8.72e-09	9.80067e-10
8.74e-09	9.7895e-10
8.76e-09	9.77839e-10
8.78e-09	9.76735e-10
8.8e-09	9.75638e-10
8.82e-09	9.74548e-10
8.84e-09	9.73465e-10
8.86e-09	9.72388e-10
8.88e-09	9.71317e-10
8.9e-09	9.70253e-10
8.92e-09	9.69196e-10
8.94e-09	9.68145e-10
8.96e-09	9.671e-10
8.98e-09	9.66062e-10
9e-09	9.65029e-10
9.02e-09	9.64003e-10
9.04e-09	9.62983e-10
9.06e-09	9.61969e-10
9.08e-09	9.60961e-10
9.1e-09	9.59959e-10
9.12e-09	9.58963e-10
9.14e-09	9.57973e-10
9.16e-09	9.56988e-10
9.18e-09	9.56009e-10
9.2e-09	9.55036e-10
9.22e-09	9.54069e-10
9.24e-09	9.53107e-10
9.26e-09	9.52151e-10
9.28e-09	9.512e-10
9.3e-09	9.50254e-10
9.32e-09	9.49314e-10
9.34e-09	9.4838e-10
9.36e-09	9.47451e-10
9.38e-09	9.46527e-10
9.4e-09	9.45608e-10
9.42e-09	9.44694e-10
9.44e-09	9.43786e-10
9.46e-09	9.42882e-10
9.48e-09	9.41984e-10
9.5e-09	9.41091e-10
9.52e-09	9.40203e-10
9.54e-09	9.39319e-10
9.56e-09	9.38441e-10
9.58e-09	9.37567e-10
9.6e-09	9.36698e-10
9.62e-09	9.35834e-10
9.64e-09	9.34975e-10
9.66e-09	9.3412e-10
9.68e-09	9.3327e-10
9.7e-09	9.32425e-10
9.72e-09	9.31584e-10
9.74e-09	9.30748e-10
9.76e-09	9.29916e-10
9.78e-09	9.29089e-10
9.8e-09	9.28266e-10
9.82e-09	9.27448e-10
9.84e-09	9.26634e-10
9.86e-09	9.25824e-10
9.88e-09	9.25018e-10
9.9e-09	9.24217e-10
9.92e-09	9.2342e-10
9.94e-09	9.22628e-10
9.96e-09	9.21839e-10
9.98e-09	9.21055e-10
1e-08	9.20274e-10

