"x"	"y"
0	7.83369e-12
5e-11	7.83368e-12
1e-10	7.83367e-12
1.5e-10	7.83369e-12
2e-10	7.83369e-12
2.5e-10	7.83367e-12
3e-10	7.83371e-12
3.5e-10	7.8337e-12
4e-10	7.8337e-12
4.5e-10	7.83371e-12
5e-10	7.83367e-12
5.5e-10	7.83372e-12
6e-10	7.83369e-12
6.5e-10	7.83369e-12
7e-10	7.83369e-12
7.5e-10	7.83369e-12
8e-10	7.83369e-12
8.5e-10	7.83369e-12
9e-10	7.83369e-12
9.5e-10	7.83369e-12
1e-09	7.83367e-12
1.05e-09	7.83367e-12
1.1e-09	7.83369e-12
1.15e-09	7.83369e-12
1.2e-09	7.83369e-12
1.25e-09	7.83369e-12
1.3e-09	7.83369e-12
1.35e-09	7.83369e-12
1.4e-09	7.83369e-12
1.45e-09	7.83369e-12
1.5e-09	7.83371e-12
1.55e-09	7.83368e-12
1.6e-09	7.83369e-12
1.65e-09	7.83369e-12
1.7e-09	7.83369e-12
1.75e-09	7.83369e-12
1.8e-09	7.83369e-12
1.85e-09	7.83369e-12
1.9e-09	7.83369e-12
1.95e-09	7.83369e-12
2e-09	1.05178e-07
2.05e-09	1.89887e-07
2.1e-09	9.9868e-08
2.15e-09	2.89633e-08
2.2e-09	-1.01838e-08
2.25e-09	-2.42825e-08
2.3e-09	-2.92471e-08
2.35e-09	-3.14472e-08
2.4e-09	-3.25565e-08
2.45e-09	-3.31762e-08
2.5e-09	-3.3532e-08
2.55e-09	-3.37244e-08
2.6e-09	-3.37959e-08
2.65e-09	-3.37706e-08
2.7e-09	-3.36674e-08
2.75e-09	-3.35021e-08
2.8e-09	-3.3288e-08
2.85e-09	-3.30356e-08
2.9e-09	-3.27532e-08
2.95e-09	-3.24471e-08
3e-09	-3.21224e-08
3.05e-09	-3.17831e-08
3.1e-09	-3.14323e-08
3.15e-09	-3.10726e-08
3.2e-09	-3.07061e-08
3.25e-09	-3.03344e-08
3.3e-09	-2.99589e-08
3.35e-09	-2.95807e-08
3.4e-09	-2.92008e-08
3.45e-09	-2.88199e-08
3.5e-09	-2.84388e-08
3.55e-09	-2.80579e-08
3.6e-09	-2.76778e-08
3.65e-09	-2.72988e-08
3.7e-09	-2.69213e-08
3.75e-09	-2.65455e-08
3.8e-09	-2.61718e-08
3.85e-09	-2.58004e-08
3.9e-09	-2.54313e-08
3.95e-09	-2.50648e-08
4e-09	-2.4701e-08
4.05e-09	-2.434e-08
4.1e-09	-2.3982e-08
4.15e-09	-2.36269e-08
4.2e-09	-2.32748e-08
4.25e-09	-2.29259e-08
4.3e-09	-2.25801e-08
4.35e-09	-2.22375e-08
4.4e-09	-2.18982e-08
4.45e-09	-2.15621e-08
4.5e-09	-2.12292e-08
4.55e-09	-2.08996e-08
4.6e-09	-2.05733e-08
4.65e-09	-2.02503e-08
4.7e-09	-1.99305e-08
4.75e-09	-1.96141e-08
4.8e-09	-1.93009e-08
4.85e-09	-1.8991e-08
4.9e-09	-1.86843e-08
4.95e-09	-1.83809e-08
5e-09	-1.80807e-08
5.05e-09	-1.77837e-08
5.1e-09	-1.749e-08
5.15e-09	-1.71994e-08
5.2e-09	-1.69119e-08
5.25e-09	-1.66277e-08
5.3e-09	-1.63465e-08
5.35e-09	-1.60684e-08
5.4e-09	-1.57934e-08
5.45e-09	-1.55215e-08
5.5e-09	-1.52526e-08
5.55e-09	-1.49867e-08
5.6e-09	-1.47238e-08
5.65e-09	-1.44638e-08
5.7e-09	-1.42068e-08
5.75e-09	-1.39527e-08
5.8e-09	-1.37014e-08
5.85e-09	-1.34531e-08
5.9e-09	-1.32075e-08
5.95e-09	-1.29648e-08
6e-09	-1.27249e-08
6.05e-09	-1.24877e-08
