"x"	"y"
0	-3.43696e-14
2e-11	-3.44369e-14
4e-11	-3.444e-14
6e-11	-3.44627e-14
8e-11	-3.44255e-14
1e-10	-3.44192e-14
1.2e-10	-3.44258e-14
1.4e-10	-3.44265e-14
1.6e-10	-3.44256e-14
1.8e-10	-3.44263e-14
2e-10	-3.44251e-14
2.2e-10	-3.44261e-14
2.4e-10	-3.4377e-14
2.6e-10	-3.43763e-14
2.8e-10	-3.43707e-14
3e-10	-3.43815e-14
3.2e-10	-3.43702e-14
3.4e-10	-3.43804e-14
3.6e-10	-3.43702e-14
3.8e-10	-3.43812e-14
4e-10	-3.437e-14
4.2e-10	-3.43813e-14
4.4e-10	-3.43698e-14
4.6e-10	-3.43803e-14
4.8e-10	-3.44357e-14
5e-10	-3.44344e-14
5.2e-10	-3.44152e-14
5.4e-10	-3.4438e-14
5.6e-10	-3.44348e-14
5.8e-10	-3.44378e-14
6e-10	-3.44355e-14
6.2e-10	-3.44378e-14
6.4e-10	-3.44358e-14
6.6e-10	-3.44377e-14
6.8e-10	-3.44349e-14
7e-10	-3.44377e-14
7.2e-10	-3.44351e-14
7.4e-10	-3.44376e-14
7.6e-10	-3.44351e-14
7.8e-10	-3.44375e-14
8e-10	-3.44349e-14
8.2e-10	-3.44379e-14
8.4e-10	-3.44354e-14
8.6e-10	-3.44382e-14
8.8e-10	-3.44352e-14
9e-10	-3.44381e-14
9.2e-10	-3.44346e-14
9.4e-10	-3.44381e-14
9.6e-10	-3.4432e-14
9.8e-10	-3.44163e-14
1e-09	-3.43471e-14
1.02e-09	-3.44412e-14
1.04e-09	-3.4416e-14
1.06e-09	-3.44318e-14
1.08e-09	-3.44148e-14
1.1e-09	-3.4431e-14
1.12e-09	-3.44157e-14
1.14e-09	-3.44322e-14
1.16e-09	-3.44153e-14
1.18e-09	-3.44321e-14
1.2e-09	-3.44159e-14
1.22e-09	-3.44322e-14
1.24e-09	-3.44156e-14
1.26e-09	-3.44319e-14
1.28e-09	-3.44151e-14
1.3e-09	-3.4432e-14
1.32e-09	-3.44159e-14
1.34e-09	-3.44319e-14
1.36e-09	-3.44159e-14
1.38e-09	-3.44305e-14
1.4e-09	-3.44155e-14
1.42e-09	-3.44319e-14
1.44e-09	-3.44153e-14
1.46e-09	-3.44322e-14
1.48e-09	-3.44161e-14
1.5e-09	-3.45063e-14
1.52e-09	-3.43525e-14
1.54e-09	-3.44258e-14
1.56e-09	-3.44151e-14
1.58e-09	-3.44274e-14
1.6e-09	-3.44156e-14
1.62e-09	-3.4432e-14
1.64e-09	-3.44153e-14
1.66e-09	-3.44321e-14
1.68e-09	-3.44159e-14
1.7e-09	-3.44305e-14
1.72e-09	-3.44161e-14
1.74e-09	-3.44318e-14
1.76e-09	-3.44154e-14
1.78e-09	-3.44299e-14
1.8e-09	-3.44158e-14
1.82e-09	-3.44318e-14
1.84e-09	-3.44155e-14
1.86e-09	-3.4432e-14
1.88e-09	-3.44353e-14
1.9e-09	-3.44159e-14
1.92e-09	-3.44212e-14
1.94e-09	-3.44271e-14
1.96e-09	-3.44266e-14
1.98e-09	-3.44318e-14
2e-09	-1.35989e-07
2.02e-09	-3.17628e-07
2.04e-09	-2.78476e-07
2.06e-09	-2.39263e-07
2.08e-09	-2.01447e-07
2.1e-09	-1.65637e-07
2.12e-09	-1.32563e-07
2.14e-09	-1.03271e-07
2.16e-09	-7.89068e-08
2.18e-09	-6.01538e-08
2.2e-09	-4.68327e-08
2.22e-09	-3.79396e-08
2.24e-09	-3.21102e-08
2.26e-09	-2.81468e-08
2.28e-09	-2.52662e-08
2.3e-09	-2.30413e-08
2.32e-09	-2.12438e-08
2.34e-09	-1.97388e-08
2.36e-09	-1.8441e-08
2.38e-09	-1.72955e-08
2.4e-09	-1.62661e-08
2.42e-09	-1.53284e-08
2.44e-09	-1.44658e-08
2.46e-09	-1.3667e-08
2.48e-09	-1.2924e-08
2.5e-09	-1.22311e-08
2.52e-09	-1.15844e-08
2.54e-09	-1.09804e-08
2.56e-09	-1.04165e-08
2.58e-09	-9.89035e-09
2.6e-09	-9.39969e-09
2.62e-09	-8.94236e-09
2.64e-09	-8.51627e-09
2.66e-09	-8.11938e-09
2.68e-09	-7.74969e-09
2.7e-09	-7.4053e-09
2.72e-09	-7.08437e-09
2.74e-09	-6.78518e-09
2.76e-09	-6.50611e-09
2.78e-09	-6.24565e-09
2.8e-09	-6.00238e-09
2.82e-09	-5.77501e-09
2.84e-09	-5.56234e-09
2.86e-09	-5.36325e-09
2.88e-09	-5.17674e-09
2.9e-09	-5.00185e-09
2.92e-09	-4.83774e-09
2.94e-09	-4.68361e-09
2.96e-09	-4.53874e-09
2.98e-09	-4.40246e-09
3e-09	-4.27415e-09
3.02e-09	-4.15325e-09
3.04e-09	-4.03924e-09
3.06e-09	-3.93164e-09
3.08e-09	-3.83002e-09
3.1e-09	-3.73395e-09
3.12e-09	-3.64308e-09
3.14e-09	-3.55705e-09
3.16e-09	-3.47554e-09
3.18e-09	-3.39826e-09
3.2e-09	-3.32493e-09
3.22e-09	-3.25529e-09
3.24e-09	-3.18911e-09
3.26e-09	-3.12618e-09
3.28e-09	-3.06629e-09
3.3e-09	-3.00925e-09
3.32e-09	-2.95489e-09
3.34e-09	-2.90304e-09
3.36e-09	-2.85355e-09
3.38e-09	-2.80629e-09
3.4e-09	-2.76112e-09
3.42e-09	-2.71792e-09
3.44e-09	-2.67657e-09
3.46e-09	-2.63697e-09
3.48e-09	-2.59902e-09
3.5e-09	-2.56262e-09
3.52e-09	-2.5277e-09
3.54e-09	-2.49416e-09
3.56e-09	-2.46193e-09
3.58e-09	-2.43095e-09
3.6e-09	-2.40114e-09
3.62e-09	-2.37244e-09
3.64e-09	-2.34479e-09
3.66e-09	-2.31814e-09
3.68e-09	-2.29244e-09
3.7e-09	-2.26764e-09
3.72e-09	-2.24369e-09
3.74e-09	-2.22055e-09
3.76e-09	-2.19818e-09
3.78e-09	-2.17655e-09
3.8e-09	-2.15561e-09
3.82e-09	-2.13533e-09
3.84e-09	-2.11568e-09
3.86e-09	-2.09664e-09
3.88e-09	-2.07817e-09
3.9e-09	-2.06024e-09
3.92e-09	-2.04284e-09
3.94e-09	-2.02594e-09
3.96e-09	-2.00951e-09
3.98e-09	-1.99354e-09
4e-09	-1.978e-09
4.02e-09	-1.96288e-09
