"x"	"y"
0	1.29388e-11
5e-11	1.26381e-11
1e-10	1.29792e-11
1.5e-10	1.29156e-11
2e-10	1.29279e-11
2.5e-10	1.29267e-11
3e-10	1.29281e-11
3.5e-10	1.2929e-11
4e-10	1.293e-11
4.5e-10	1.29309e-11
5e-10	1.29317e-11
5.5e-10	1.29325e-11
6e-10	1.29332e-11
6.5e-10	1.29338e-11
7e-10	1.29344e-11
7.5e-10	1.2935e-11
8e-10	1.29355e-11
8.5e-10	1.29359e-11
9e-10	1.29364e-11
9.5e-10	1.29368e-11
1e-09	1.29371e-11
1.05e-09	1.29374e-11
1.1e-09	1.29377e-11
1.15e-09	1.2938e-11
1.2e-09	1.29382e-11
1.25e-09	1.29384e-11
1.3e-09	1.29386e-11
1.35e-09	1.29388e-11
1.4e-09	1.2939e-11
1.45e-09	1.29391e-11
1.5e-09	1.29392e-11
1.55e-09	1.29394e-11
1.6e-09	1.29395e-11
1.65e-09	1.29396e-11
1.7e-09	1.29396e-11
1.75e-09	1.29397e-11
1.8e-09	1.29398e-11
1.85e-09	1.29399e-11
1.9e-09	1.29399e-11
1.95e-09	1.294e-11
2e-09	3.61856e-07
2.05e-09	9.35435e-07
2.1e-09	8.86593e-07
2.15e-09	8.38942e-07
2.2e-09	7.91744e-07
2.25e-09	7.45814e-07
2.3e-09	7.01712e-07
2.35e-09	6.58999e-07
2.4e-09	6.17411e-07
2.45e-09	5.76879e-07
2.5e-09	5.37316e-07
2.55e-09	4.98692e-07
2.6e-09	4.61025e-07
2.65e-09	4.24267e-07
2.7e-09	3.88102e-07
2.75e-09	3.51899e-07
2.8e-09	3.15232e-07
2.85e-09	2.78382e-07
2.9e-09	2.42294e-07
2.95e-09	2.08644e-07
3e-09	1.79653e-07
3.05e-09	1.57086e-07
3.1e-09	1.41443e-07
3.15e-09	1.31021e-07
3.2e-09	1.23392e-07
3.25e-09	1.16568e-07
3.3e-09	1.09902e-07
3.35e-09	1.03333e-07
3.4e-09	9.68593e-08
3.45e-09	9.04692e-08
3.5e-09	8.41589e-08
3.55e-09	7.79306e-08
3.6e-09	7.1788e-08
3.65e-09	6.57373e-08
3.7e-09	5.97889e-08
3.75e-09	5.39585e-08
3.8e-09	4.8269e-08
3.85e-09	4.2746e-08
3.9e-09	3.74186e-08
3.95e-09	3.23192e-08
4e-09	2.74847e-08
4.05e-09	2.29565e-08
4.1e-09	1.87802e-08
4.15e-09	1.50016e-08
4.2e-09	1.16618e-08
4.25e-09	8.79063e-09
4.3e-09	6.40118e-09
4.35e-09	4.48575e-09
4.4e-09	3.01478e-09
4.45e-09	1.93875e-09
4.5e-09	1.19326e-09
4.55e-09	7.06653e-10
4.6e-09	4.08613e-10
4.65e-09	2.37619e-10
4.7e-09	1.45513e-10
4.75e-09	9.84576e-11
4.8e-09	7.50606e-11
4.85e-09	6.31226e-11
4.9e-09	5.63616e-11
4.95e-09	5.18444e-11
5e-09	4.832e-11
5.05e-09	4.52955e-11
5.1e-09	4.25863e-11
5.15e-09	4.01209e-11
5.2e-09	3.78663e-11
