"x"	"y"
0	-4.3171e-13
5e-11	-4.31427e-13
1e-10	-4.3171e-13
1.5e-10	-4.31711e-13
2e-10	-4.31707e-13
2.5e-10	-4.31708e-13
3e-10	-4.31714e-13
3.5e-10	-4.31714e-13
4e-10	-4.31714e-13
4.5e-10	-4.31714e-13
5e-10	-4.31708e-13
5.5e-10	-4.31716e-13
6e-10	-4.3171e-13
6.5e-10	-4.31711e-13
7e-10	-4.31711e-13
7.5e-10	-4.3171e-13
8e-10	-4.31711e-13
8.5e-10	-4.31711e-13
9e-10	-4.31711e-13
9.5e-10	-4.3171e-13
1e-09	-4.31708e-13
1.05e-09	-4.31704e-13
1.1e-09	-4.31711e-13
1.15e-09	-4.3171e-13
1.2e-09	-4.31711e-13
1.25e-09	-4.31711e-13
1.3e-09	-4.31711e-13
1.35e-09	-4.31711e-13
1.4e-09	-4.31711e-13
1.45e-09	-4.31711e-13
1.5e-09	-4.31714e-13
1.55e-09	-4.31708e-13
1.6e-09	-4.31711e-13
1.65e-09	-4.3171e-13
1.7e-09	-4.31711e-13
1.75e-09	-4.31711e-13
1.8e-09	-4.31711e-13
1.85e-09	-4.3171e-13
1.9e-09	-4.31711e-13
1.95e-09	-4.3171e-13
2e-09	-3.69309e-07
2.05e-09	-9.57501e-07
2.1e-09	-9.08544e-07
2.15e-09	-8.58212e-07
2.2e-09	-8.0951e-07
2.25e-09	-7.62025e-07
2.3e-09	-7.15775e-07
2.35e-09	-6.70483e-07
2.4e-09	-6.26022e-07
2.45e-09	-5.82547e-07
2.5e-09	-5.40045e-07
2.55e-09	-4.98458e-07
2.6e-09	-4.57808e-07
2.65e-09	-4.18109e-07
2.7e-09	-3.7914e-07
2.75e-09	-3.40502e-07
2.8e-09	-3.02174e-07
2.85e-09	-2.65015e-07
2.9e-09	-2.30613e-07
2.95e-09	-2.00985e-07
3e-09	-1.77783e-07
3.05e-09	-1.61446e-07
3.1e-09	-1.50472e-07
3.15e-09	-1.42147e-07
3.2e-09	-1.34509e-07
3.25e-09	-1.26985e-07
3.3e-09	-1.19491e-07
3.35e-09	-1.12021e-07
3.4e-09	-1.04554e-07
3.45e-09	-9.70768e-08
3.5e-09	-8.95867e-08
3.55e-09	-8.20849e-08
3.6e-09	-7.45801e-08
3.65e-09	-6.70904e-08
3.7e-09	-5.96452e-08
3.75e-09	-5.22886e-08
3.8e-09	-4.50824e-08
3.85e-09	-3.81082e-08
3.9e-09	-3.14674e-08
3.95e-09	-2.52761e-08
4e-09	-1.96554e-08
4.05e-09	-1.47172e-08
4.1e-09	-1.05466e-08
4.15e-09	-7.18551e-09
4.2e-09	-4.62167e-09
4.25e-09	-2.78615e-09
4.3e-09	-1.56345e-09
4.35e-09	-8.11922e-10
4.4e-09	-3.88886e-10
4.45e-09	-1.72039e-10
4.5e-09	-7.10494e-11
4.55e-09	-2.81372e-11
4.6e-09	-1.12246e-11
4.65e-09	-4.81222e-12
4.7e-09	-2.33588e-12
4.75e-09	-1.30912e-12
4.8e-09	-8.47816e-13
4.85e-09	-6.30216e-13
4.9e-09	-5.25937e-13
4.95e-09	-4.75934e-13
5e-09	-4.52037e-13
5.05e-09	-4.40703e-13
5.1e-09	-4.35433e-13
