"x"	"y"
0	-1.14192e-11
5e-11	-1.17846e-11
1e-10	-1.13581e-11
1.5e-10	-1.1418e-11
2e-10	-1.1412e-11
2.5e-10	-1.14137e-11
3e-10	-1.14141e-11
3.5e-10	-1.14145e-11
4e-10	-1.14148e-11
4.5e-10	-1.14151e-11
5e-10	-1.14153e-11
5.5e-10	-1.14155e-11
6e-10	-1.14157e-11
6.5e-10	-1.14159e-11
7e-10	-1.1416e-11
7.5e-10	-1.14162e-11
8e-10	-1.14163e-11
8.5e-10	-1.14164e-11
9e-10	-1.14165e-11
9.5e-10	-1.14166e-11
1e-09	-1.14167e-11
1.05e-09	-1.14167e-11
1.1e-09	-1.14168e-11
1.15e-09	-1.14169e-11
1.2e-09	-1.14169e-11
1.25e-09	-1.1417e-11
1.3e-09	-1.1417e-11
1.35e-09	-1.14171e-11
1.4e-09	-1.14171e-11
1.45e-09	-1.14172e-11
1.5e-09	-1.14172e-11
1.55e-09	-1.14173e-11
1.6e-09	-1.14173e-11
1.65e-09	-1.14173e-11
1.7e-09	-1.14174e-11
1.75e-09	-1.14174e-11
1.8e-09	-1.14174e-11
1.85e-09	-1.14175e-11
1.9e-09	-1.14175e-11
1.95e-09	-1.14175e-11
2e-09	-3.75259e-07
2.05e-09	-9.69121e-07
2.1e-09	-9.17414e-07
2.15e-09	-8.64602e-07
2.2e-09	-8.13638e-07
2.25e-09	-7.64164e-07
2.3e-09	-7.16127e-07
2.35e-09	-6.6933e-07
2.4e-09	-6.23626e-07
2.45e-09	-5.79141e-07
2.5e-09	-5.35859e-07
2.55e-09	-4.93713e-07
2.6e-09	-4.52704e-07
2.65e-09	-4.12814e-07
2.7e-09	-3.73768e-07
2.75e-09	-3.35154e-07
2.8e-09	-2.97039e-07
2.85e-09	-2.60264e-07
2.9e-09	-2.26425e-07
2.95e-09	-1.97512e-07
3e-09	-1.75088e-07
3.05e-09	-1.59431e-07
3.1e-09	-1.48899e-07
3.15e-09	-1.4074e-07
3.2e-09	-1.33123e-07
3.25e-09	-1.25569e-07
3.3e-09	-1.1804e-07
3.35e-09	-1.10536e-07
3.4e-09	-1.03034e-07
3.45e-09	-9.55248e-08
3.5e-09	-8.80054e-08
3.55e-09	-8.04802e-08
3.6e-09	-7.29608e-08
3.65e-09	-6.54681e-08
3.7e-09	-5.80345e-08
3.75e-09	-5.07067e-08
3.8e-09	-4.35491e-08
3.85e-09	-3.66458e-08
3.9e-09	-3.00995e-08
3.95e-09	-2.40267e-08
4e-09	-1.85463e-08
4.05e-09	-1.37655e-08
4.1e-09	-9.762e-09
4.15e-09	-6.56874e-09
4.2e-09	-4.16323e-09
4.25e-09	-2.4672e-09
4.3e-09	-1.35827e-09
4.35e-09	-6.91947e-10
4.4e-09	-3.27037e-10
4.45e-09	-1.46084e-10
4.5e-09	-6.50877e-11
4.55e-09	-3.22292e-11
4.6e-09	-1.99199e-11
4.65e-09	-1.54688e-11
4.7e-09	-1.38021e-11
4.75e-09	-1.31178e-11
4.8e-09	-1.2812e-11
4.85e-09	-1.26712e-11
4.9e-09	-1.26075e-11
4.95e-09	-1.25806e-11
5e-09	-1.25711e-11
5.05e-09	-1.25699e-11
5.1e-09	-1.25726e-11
5.15e-09	-1.25773e-11
5.2e-09	-1.25828e-11
5.25e-09	-1.25888e-11
5.3e-09	-1.25949e-11
5.35e-09	-1.26011e-11
5.4e-09	-1.26073e-11
5.45e-09	-1.26135e-11
5.5e-09	-1.26197e-11
5.55e-09	-1.26258e-11
5.6e-09	-1.26318e-11
5.65e-09	-1.26377e-11
5.7e-09	-1.26436e-11
5.75e-09	-1.26494e-11
5.8e-09	-1.26551e-11
5.85e-09	-1.26608e-11
5.9e-09	-1.26663e-11
5.95e-09	-1.26718e-11
6e-09	-1.26771e-11
6.05e-09	-1.26824e-11
6.1e-09	-1.26876e-11
6.15e-09	-1.26927e-11
6.2e-09	-1.26977e-11
6.25e-09	-1.27026e-11
6.3e-09	-1.27074e-11
6.35e-09	-1.27121e-11
6.4e-09	-1.27168e-11
6.45e-09	-1.27214e-11
6.5e-09	-1.27259e-11
6.55e-09	-1.27303e-11
6.6e-09	-1.27346e-11
6.65e-09	-1.27389e-11
6.7e-09	-1.27431e-11
6.75e-09	-1.27473e-11
6.8e-09	-1.27513e-11
6.85e-09	-1.27553e-11
6.9e-09	-1.27593e-11
6.95e-09	-1.27632e-11
7e-09	-1.2767e-11
7.05e-09	-1.27708e-11
7.1e-09	-1.27745e-11
7.15e-09	-1.27782e-11
7.2e-09	-1.27818e-11
7.25e-09	-1.27853e-11
7.3e-09	-1.27888e-11
7.35e-09	-1.27923e-11
7.4e-09	-1.27957e-11
7.45e-09	-1.27991e-11
7.5e-09	-1.28024e-11
7.55e-09	-1.28057e-11
7.6e-09	-1.28089e-11
7.65e-09	-1.28121e-11
7.7e-09	-1.28152e-11
7.75e-09	-1.28184e-11
7.8e-09	-1.28214e-11
7.85e-09	-1.28245e-11
7.9e-09	-1.28275e-11
7.95e-09	-1.28304e-11
8e-09	-1.28333e-11
8.05e-09	-1.28362e-11
8.1e-09	-1.28391e-11
8.15e-09	-1.28419e-11
8.2e-09	-1.28447e-11
8.25e-09	-1.28474e-11
8.3e-09	-1.28502e-11
8.35e-09	-1.28529e-11
8.4e-09	-1.28555e-11
8.45e-09	-1.28582e-11
8.5e-09	-1.28608e-11
8.55e-09	-1.28633e-11
8.6e-09	-1.28659e-11
8.65e-09	-1.28684e-11
8.7e-09	-1.28709e-11
8.75e-09	-1.28734e-11
8.8e-09	-1.28758e-11
8.85e-09	-1.28782e-11
8.9e-09	-1.28806e-11
8.95e-09	-1.2883e-11
9e-09	-1.28853e-11
9.05e-09	-1.28876e-11
9.1e-09	-1.28899e-11
9.15e-09	-1.28922e-11
9.2e-09	-1.28944e-11
9.25e-09	-1.28966e-11
9.3e-09	-1.28988e-11
9.35e-09	-1.2901e-11
9.4e-09	-1.29032e-11
9.45e-09	-1.29053e-11
9.5e-09	-1.29074e-11
9.55e-09	-1.29095e-11
9.6e-09	-1.29116e-11
9.65e-09	-1.29137e-11
9.7e-09	-1.29157e-11
9.75e-09	-1.29177e-11
9.8e-09	-1.29197e-11
9.85e-09	-1.29217e-11
9.9e-09	-1.29237e-11
9.95e-09	-1.29256e-11
1e-08	-1.29275e-11

